year,month,usd
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,10,3890
2012,11,3890
2012,11,3890
2012,11,3890
2012,11,3890
2012,11,3890
2012,11,3890
2012,11,3890
2012,11,3890
2012,11,3890
2012,11,3890
2012,11,3890
2012,11,3890
2012,11,3890
2012,12,3890
2012,12,3890
2012,12,3890
2012,12,3890
2012,12,3890
2012,12,3890
2012,12,3890
2012,12,3890
2012,12,3890
2013,1,3890
2013,1,3890
2013,1,3890
2013,1,3890
2013,1,3890
2013,1,3890
2013,1,3890
2013,1,3890
2013,1,7780
2013,2,-3900
2013,2,3890
2013,2,3890
2013,2,3890
2013,2,3890
2013,2,3890
2013,2,3890
2013,2,3890
2013,2,3890
2013,2,3890
2013,2,3890
2013,2,3890
2013,3,3890
2013,3,3890
2013,3,2160
2013,3,3890
2013,3,3890
2013,3,3890
2013,3,3890
2013,3,3890
2013,3,3890
2013,3,3890
2013,3,3890
2013,3,3890
2013,3,3890
2013,3,4450
2013,3,3890
2013,4,3890
2013,4,4450
2013,4,3890
2013,4,3890
2013,4,3890
2013,4,3890
2013,4,0
2013,4,3890
2013,4,3890
2013,4,3890
2013,5,3890
2013,5,3700
2013,5,0
2013,5,3890
2013,5,0
2013,5,3890
2013,5,27250
2013,5,3700
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,3890
2013,5,4450
2013,5,4450
2013,5,4450
2013,5,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,3890
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,-4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,3890
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,6,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,1110
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,7,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,3700
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,8,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,9,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,4450
2013,10,2160
2013,10,4450
2013,11,4450
2013,11,4450
2013,11,4450
2013,11,4450
2013,11,4450
2013,11,4450
2013,11,2160
2013,11,4450
2013,11,4450
2013,11,4450
2013,11,4450
2013,11,4450
2013,11,4450
2013,11,4450
2013,11,4450
2013,11,4450
2013,12,4450
2013,12,4450
2013,12,4450
2013,12,4450
2013,12,4450
2013,12,4450
2013,12,4450
2013,12,4450
2014,1,4450
2014,1,4450
2014,1,4450
2014,1,4450
2014,1,4450
2014,1,4450
2014,1,4450
2014,1,4450
2014,1,4450
2014,1,4450
2014,1,7780
2014,1,4450
2014,2,4450
2014,2,4450
2014,2,27250
2014,2,4450
2014,2,4450
2014,2,4450
2014,2,4450
2014,2,4450
2014,3,4450
2014,3,4450
2014,3,4450
2014,3,4450
2014,3,4450
2014,3,4450
2014,3,4450
2014,3,4450
2014,3,4450
2014,3,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,3330
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,4,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,3700
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,3330
2014,5,4450
2014,5,4450
2014,5,3330
2014,5,3330
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,5,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
2014,6,4450
